ITEM_20150317_000001	$Empty_helmet 	없음_helmet				
ITEM_20150317_000002	$Murmillo Helmet 	무르밀로 헬멧				
ITEM_20150317_000003	$Empty_armband 	없음_armband				
ITEM_20150317_000004	$Red Armband 	붉은 암밴드				
ITEM_20150317_000005	$Armband 	암밴드				
ITEM_20150317_000006	$Knotted Armband 	매듭진 암밴드				
ITEM_20150317_000007	$Long Armband 	긴 암밴드				
ITEM_20150317_000008	$Feather Armband 	깃털 장식 암밴드				
ITEM_20150317_000009	$Tasseled Armband 	술달린 암밴드				
ITEM_20150317_000010	$Empty_weapon 	없음_weapon				
ITEM_20150317_000011	{memo X}$Crude Gladius 	조악한 글라디우스				
ITEM_20150317_000012	$One-Handed Sword [Slash] 	한손검[베기]				
ITEM_20150317_000013	$A weapon that is commonly used and carried by soldiers of the kingdom. 	글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.				
ITEM_20150317_000014	$Gladius 	글라디우스				
ITEM_20150317_000015	$This weapon is crafted with room for improvement over its military version. 	군용에 비해 성능 향상의 여지를 두고 제조됩니다.				
ITEM_20150317_000016	{memo X}$Low Falchion 	로우 폴쳔				
ITEM_20150317_000017	$This sword is exceptional for slashing. 	베기 성능이 우수한 검입니다. 				
ITEM_20150317_000018	{memo X}$Low Kaskara 	로우 카스카라				
ITEM_20150317_000019	$Due to its ease in manufacturing, this sword is frequently chosen by adventurers as their first replacement for their training sword. 	제조가 쉬워서 모험가들이 처음 검을 바꿀 때 많이 선택합니다.				
ITEM_20150317_000020	$Cinquedea 	친퀘데아				
ITEM_20150317_000021	$Recommended for those who desire a heavier and stronger sword. 	더 무겁고 더 강한 검을 원한다면 권장합니다.				
ITEM_20150317_000022	$Sabre 	사브르				
ITEM_20150317_000023	$Primary weapon of the Cavalry, optimized for slashing. The guard on the hilt helps protect the user's hand. 	기병들의 기본 무장이며, 베기에 적합한 구조를 지녔습니다. 검병이 있어 손을 보호하는 효과도 있습니다.				
ITEM_20150317_000024	$Shamshir 	샴시르				
ITEM_20150317_000025	$The large curved crescent edge allows for a powerful slash. 	크게 구부러진 초승달 검날이 베기에 위력적입니다.				
ITEM_20150317_000026	$Scimitar 	시미터				
ITEM_20150317_000027	$Its heavy weight is compensated by its very powerful slash. 	무게는 약간 부담스럽지만, 베기에는 그만큼 위력적입니다.				
ITEM_20150317_000028	$Kris 	크리스				
ITEM_20150317_000029	$The twisted edge amplifies the damage it inflicts. A sword that is both practical and decorative. 	구불구불한 날이 피해를 크게 입힙니다. 장식과 실용성을 동시에 추구하는 검입니다.				
ITEM_20150317_000030	$Snickersnee 	스니커스니				
ITEM_20150317_000031	$Its extremely sharp blade makes it a favorite among even the most experienced swordsmen. 	절단력이 무척 우수하여 경험많은 검사들도 애용합니다.				
ITEM_20150317_000032	{memo X}$Crude Shamshir 	조악한 샴시르				
ITEM_20150317_000033	{memo X}$Crude Scimitar 	조악한 시미터				
ITEM_20150317_000034	$Soldier's Gladius 	병사의 글라디우스				
ITEM_20150317_000035	$A basic armament provided to full-time soldiers. Its overall quality is better than those sold in the market. 	정규병에게 지급됩니다. 민간제조 글라디우스에 비해 대체로 성능이 좋습니다. 				
ITEM_20150317_000036	$Mayor's Falchion 	촌장의 폴쳔				
ITEM_20150317_000037	$Looking at this weapon raises suspicions on its previous owner's past. 	이전 주인의 과거가 의심스러워지는 물건입니다.				
ITEM_20150317_000038	{memo X}$Crude Kaskara 	조악한 카스카라				
ITEM_20150317_000039	$Moplah 	모플라				
ITEM_20150317_000040	$This sword combines both practicality and aesthetics. 	실용성과 미적 감각을 모두 갖춘 검입니다.				
ITEM_20150317_000041	{memo X}$Heavy Gladius 	헤비 글라디우스				
ITEM_20150317_000042	$Falchion 	폴쳔				
ITEM_20150317_000043	{memo X}$Heavy Falchion 	헤비 폴쳔				
ITEM_20150317_000044	$Kaskara 	카스카라				
ITEM_20150317_000045	{memo X}$Heavy Cinquedea 	헤비 친퀘데아				
ITEM_20150317_000046	{memo X}$Heavy Sabre 	헤비 사브르				
ITEM_20150317_000047	{memo X}$Heavy Shamshir 	헤비 샴시르				
ITEM_20150317_000048	$Dunkel Sabre 	던켈 사브르				
ITEM_20150317_000049	$Dunkel Snickersnee 	던켈 스니커스니				
ITEM_20150317_000050	$Dunkel Falchion 	던켈 폴쳔				
ITEM_20150317_000051	$Dunkel Kaskara 	던켈 카스카라				
